Journal,Scope
COMPUTATIONAL STATISTICS,"Computational Statistics (CompStat) is an international journal that promotes the publication of applications and methodological research in Computational Statistics and Data Science. The focus of papers in CompStat is on the contribution to and influence of computing on statistics and vice versa with special attention to contributions analyzing complex data sets. The journal provides a forum for computer scientists, mathematicians, and statisticians in a variety of fields of statistics such as biometrics, econometrics, big data analysis, functional data analysis, image analysis, spatial data analysis, graphics, simulation, algorithms, knowledge-based systems, non/semi-parametrics, and Bayesian computing. CompStat publishes package reports and software articles."
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,"Series C seeks to publish papers that are tackling genuine problems in applied statistics, i.e. where applications are central to the paper and provide the motivation for the work presented. This usually implies that the specific application under study will also be mentioned in the title, and should figure prominently in abstract, introduction and discussion as well as in other parts of the paper. In essence, papers should directly engage with the application and should clearly indicate what additional insights into the applied problem have been gained by applying the suggested methodology. This also implies that some technical details, derivations and proofs might not form part of the main body of the text, but might be moved into supplementary material.
Series C papers make a novel contribution to statistics by adapting or developing new statistical methodology for a specific applied context, or by demonstrating the innovative combination of existing advanced statistical methods. JRSS-C also accepts papers on computational statistics, machine learning and data science, if they are engaging with an application as outlined above. Papers where the application merely serves as an illustration for new methodology or papers that use well-established statistical methods to analyze data are not suitable for JRSS-C. Similarly, papers that only contain brief numerical illustrations or focus exclusively on simulation studies are not suitable, although numerical illustrations and simulations may of course form part of a JRSS-C paper.
In terms of application areas and methodologies, Series C tries to be as broad as possible and therefore covers the whole range of interdisciplinary fields where statistics is applied, including but being by no means limited to agriculture, biology, chemistry, ecology, economics, genetics, industry, medicine, physics, and social sciences."
JOURNAL OF TIME SERIES ANALYSIS,"During the last 30 years Time Series Analysis has become one of the most important and widely used branches of Mathematical Statistics. Its fields of application range from neurophysiology to astrophysics and it covers such well-known areas as economic forecasting, study of biological data, control systems, signal processing and communications and vibrations engineering. The Journal of Time Series Analysis started in 1980, has since become the leading journal in its field, publishing papers on both fundamental theory and applications, as well as review papers dealing with recent advances in major areas of the subject and short communications on theoretical developments. The editorial board consists of many of the world's leading experts in Time Series Analysis"
R JOURNAL,"The R Journal is a peer-reviewed, open-access scientific journal, published by The R Foundation. It features short- to medium-length articles (up to 20 pages) covering topics of interest to users and developers of R. For example, description and implementation details of R packages, surveys or reviews of R software related to a particular area, applications of R software or descriptions of teaching resources related to R.
All submissions must primarily be about R packages and R programming. Submissions that involve R calling other software will be considered provided: (a) the other software is open source and free to use; (b) is widely used; and (c) there is a clear justification for using it rather than a native R implementation. Occasional exceptions may be made if (a) is not satisfied, provided there is no viable open source alternative.
The R Journal reaches a wide audience and has a thorough review process. It has a generally increasing SJR impact factor. Papers are expected to be concise, clearly written, not too technical, clearly related to R, and follow reproducible practices. Additional technical details and examples could be included as supplementary material. Authors of refereed articles should take care to:
put their contribution in context, in particular discuss related R functions or packages;
explain the motivation for their contribution;
provide code to reproduce the material in the paper.
The R Journal accepts a variety of article topics including:
Packages: Details of contributed R packages that are available on CRAN or Bioconductor, that go beyond a package vignette. This includes providing the broader context, implementation details, applications or examples of use, with the purpose being to make the work relevant to a wider readership than only the package users. The paper might explain the novelty in implementation and use of R, introduce new data structures or general architectures that could be re-usable for other R projects. Note that both the paper and the code will be reviewed. See our guidelines for papers about R packages.
Reviews and proposals: surveying and discussing challenges and opportunities of potential importance for the broader R community, including proposals and proof-of-concept implementations.
Comparisons and benchmarking: of implementations in base-R and contributed packages with each other, and where relevant with implementations in other software systems.
Applications: demonstrating how new or existing techniques can be applied in an area of current interest using R, providing a fresh view of such analyses in R that is of benefit beyond the specific application.
Special issue articles: papers associated with a conference like R Medicine, or possibly a collection of papers on a particular topic of interest."
SCANDINAVIAN JOURNAL OF STATISTICS,"The Scandinavian Journal of Statistics is internationally recognised as one of the leading statistical journals in the world. It was founded in 1974 by four Scandinavian statistical societies. Today more than eighty per cent of the manuscripts are submitted from outside Scandinavia. It is an international journal devoted to reporting significant and innovative original contributions to statistical methodology, well justified by theory and numerical experiments, and illustrated by real data applications. The journal specialises in statistical modelling showing particular appreciation of the underlying substantive research problems."
SPATIAL STATISTICS,"Spatial Statistics publishes articles on the theory and application of spatial and spatio-temporal statistics. It favours manuscripts that present theory generated by new applications, or in which new theory is applied to an important practical case. A purely theoretical study will only rarely be accepted. Pure case studies and algorithms without methodological development are not acceptable for publication.
Spatial Statistics concerns the quantitative analysis of spatial and spatio-temporal data, including their statistical dependencies, heterogeneity, accuracy and uncertainties. Methodology for spatial statistics is typically found in probability theory, stochastic modelling and mathematical statistics as well as in information and computer science. Spatial statistics is used in mapping, assessing spatial data quality, sampling design optimisation, modelling of spatial structures, and drawing of valid inference and causality from a limited set of spatio-temporal data. Application fields include:
The physical domains, e.g. environment, climate, agriculture, ecology, geosciences oceanography and remote sensing.
The social/economic domains, e.g. epidemiology, population characteristics, and disease mapping.
Spatial Statistics encourages the submission of short communications and case studies in spatial statistics (i.e. manuscripts up to 3000 words presenting novel spatial statistical applications).
Spatial Statistics aims to publish reproducible science. Authors are encouraged to submit and publish data, procedures, models and methods that support your research publication. It provides facilities to interlink those with your published articles.
Spatial Statistics has an open attitude towards the latest developments in data science, deep learning and geoAI, as long as a substantial statistical component is present."
STATISTICA SINICA,"Statistica Sinica aims to meet the needs of statisticians and data scientists in a rapidly changing world. It provides a forum for publishing innovative work of high quality in all areas of statistics and data science, including theory, methodology, and applications. The journal encourages the development and principled use of statistical methodologies relevant to society, science, and technology."
STATISTICAL ANALYSIS AND DATA MINING,"Statistical Analysis and Data Mining is primarily a statistical journal focusing on novelty, intellectual importance, and relevance in current topics of contemporary research in statistics, statistical machine learning, and statistical data mining. This is interpreted broadly to include innovative analytic techniques and applications provided they have a secure grounding in mathematical rigor. Aside from the emphasis on novelty, methodologies are expected to have been developed to the point that their key general properties can be established and their applicability can be assessed. In principle, any topic in any emerging areas of statistical thinking is welcome.
Statistical Analysis and Data Mining also welcomes review articles on recent topics of broad contemporary interest in statistics research.
Submitted research papers should have a clear focus stated succinctly in an introduction. The introduction should provide enough background that a typical reader will be able to see why the contribution is important. The development of the theory, methodology, computational approach, or other aspects of the focus should proceed in a logically streamlined way. When a new method is given, a statement of when it is better than existing methods should be made and supported via theory, systematic simulations, or other argumentation. An application demonstrating the feasibility of any new technique is also usually desirable.
Suggested approach:
Scan the paper to identify the key contribution.
If the key contribution is minor, reject the paper.
If the key contribution is substantial:
a) Synopsize the main ideas of the paper in your own summary;
b) If you know of any closely related research not covered in the paper, mention it;
c) Check the paper for accuracy and note corrections;
d) Check the paper for clarity and suggest alternative wordings where appropriate;
e) If you find the paper incomplete, consider writing your own publishable comment.
4) Do not hesitate to ask the Associate Editor to obtain any of the following, as needed:
a) Reference papers not easily accessible;
b) Original source data;
c) Original code.
5) Make your recommendation for:
a) Acceptance - paper publishable as is;
b) Minor Revision - no serious errors but may require some elaboration of existing work;
c) Major Revision - poorly written or containing potentially correctable flaws; may require new research to be a complete contribution;
d) Rejection - paper would need to be totally rewritten, expanded to provide a more substantial contribution, i.e., the amount of new research that would be required is too large or may not be feasible, or the paper should be abandoned as a bad idea."
STATISTICAL METHODS AND APPLICATIONS,"Statistical Methods and Applications (SMA), the official Journal of the Italian Statistical Society, is an international journal aiming at promoting the development of statistical methodology and its applications in the biological, demographic, economic, health, physical, social and other scientific domains. SMA includes two sections: The first is devoted to statistical methodology and publishes original contributions in all fields of Statistics and, occasionally, critical reviews and discussions on recent developments in statistical theory and methods. The second section of the journal publishes papers devoted to original and/or innovative applications of recent statistical methodology and complex approaches of statistical data analysis. The journal is published four times a year. SMA provides a forum for the presentation of Italian and international research on methods that are of central interest to modern statistics. Discussions on methodological foundations and methods that have broad applications will be welcome and preferred."
STATISTICAL MODELLING,"The primary aim of the journal is to publish original and high-quality articles that recognize
statistical modelling as the general framework for the application of statistical ideas. Submissions
must reflect important developments, extensions, and applications in statistical modelling. The
journal also encourages submissions that describe scientifically interesting, complex or novel
statistical modelling aspects from a wide diversity of disciplines, and submissions that embrace
the diversity of applied statistical modelling.
An important objective and exciting feature of the journal is that the reader should be able to
reproduce the results presented in published articles, apply the published techniques to their own
problems, and even develop their own extensions of the methodology. To achieve this authors
are strongly encouraged to make data and software available over the internet through a website
linked to the journal: http://www.statmod.org/journal.htm. Authors are encouraged to make
available supplemental material related to their published manuscript on this site as well.
The journal aims to be the major resource for statistical modelling, covering both methodology
and practice. Its goal is to be multidisciplinary in nature, promoting the cross-fertilization of ideas
between substantive research areas, as well as providing a common forum for the comparison,
unification and nurturing of modelling issues across different subjects.
The journal will have three main themes:
 New Modelling Concepts and Approaches for papers on new statistical modelling
ideas. These papers will be based upon a problem of real substantive interest with
appropriate data. Papers that merely propose and study the properties of new
methodology based on a standard or well-known model are not appropriate for
publication in the journal.
 Practical Applications for papers on interesting practical problems which are addressed
using an existing or a novel adaptation of an existing modelling technique.
 Tutorials & Reviews with papers on recent and cutting edge topics in statistical
modelling.
A Note on “Practical Applications” Papers
Since ""Practical Applications"" manuscripts are less common in statistics journals than the other
two types, it is worth being more specific concerning the types of manuscripts that fall into this
category. Manuscripts should describe statistical analyses of a subject area, where the proposed
analyses have rarely (if ever) been done in the application field. This is not, however, sufficient for
acceptance for publication. Manuscripts should also provide a thorough literature review of how
data of this type are currently handled in the literature of the application area, a review of any
applications of modern statistical methodology applied to data of its type in the area, and
justification as to why the work is important to the subject area, and provides gains beyond
current methodology applied to the field. The methodology used should be modern and
reasonably sophisticated (although not necessarily innovative) and should have few or no
applications so far in the subject area literature. The intention in publishing such manuscripts is to
provide an opportunity for readers (including those from the application area) to see the potential
to revolutionize data analysis in the field. It is also hoped that such publication would provide an
outlet for statisticians who may get little recognition in the statistics field for excellent, non-routine,
clever, state-of-the-art work in subject areas.
Statistical Modelling wishes to particularly encourage Ph.D. students to submit their original work.
As the Editorial Board is aware of the importance of timely publication for articles that are part of
a cumulative Ph.D. thesis, we encourage corresponding authors to highlight when the first author
is a Ph.D. student. The Editorial Board will then give these articles priority in order to reach a
timely decision and will try to provide a fast peer review process in a supportive environment."
